LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,,,,,T2M,,WS50M
50.8308,-58.9756,2000,1,1,1.23,,,,,-14.98,,6.94
50.8308,-58.9756,2000,1,2,1.06,,,,,-12.25,,7.29
50.8308,-58.9756,2000,1,3,0.41,,,,,-12.45,,7.33
50.8308,-58.9756,2000,1,4,0.79,,,,,-12.59,,5.97
50.8308,-58.9756,2000,1,5,0.91,,,,,-4.64,,9.74
50.8308,-58.9756,2000,1,6,1.26,,,,,-15.64,,8.87
50.8308,-58.9756,2000,1,7,0.88,,,,,-3.69,,10.25
50.8308,-58.9756,2000,1,8,1.22,,,,,-5.51,,9.26
50.8308,-58.9756,2000,1,9,1.12,,,,,-10.32,,5.36
50.8308,-58.9756,2000,1,10,1.07,,,,,-5.08,,7
50.8308,-58.9756,2000,1,11,0.51,,,,,-1.29,,11.33
50.8308,-58.9756,2000,1,12,0.72,,,,,0.07,,8.55
50.8308,-58.9756,2000,1,13,0.93,,,,,-6.28,,7.97
50.8308,-58.9756,2000,1,14,1.18,,,,,-13.14,,5.27
50.8308,-58.9756,2000,1,15,1.35,,,,,-15.5,,5.17
50.8308,-58.9756,2000,1,16,1.39,,,,,-16,,4.3
50.8308,-58.9756,2000,1,17,0.92,,,,,-10.29,,9.42
50.8308,-58.9756,2000,1,18,0.85,,,,,-10.41,,11.46
50.8308,-58.9756,2000,1,19,1.13,,,,,-12.48,,6.8
50.8308,-58.9756,2000,1,20,0.67,,,,,-11.35,,8.59
50.8308,-58.9756,2000,1,21,1.25,,,,,-8.25,,10.09
50.8308,-58.9756,2000,1,22,1.16,,,,,-1.64,,12.98
50.8308,-58.9756,2000,1,23,1.36,,,,,-9.81,,9.09
50.8308,-58.9756,2000,1,24,1.28,,,,,-13.66,,3.6
50.8308,-58.9756,2000,1,25,1.1,,,,,-4.88,,4.51
50.8308,-58.9756,2000,1,26,0.63,,,,,0.37,,8.21
50.8308,-58.9756,2000,1,27,0.61,,,,,1.27,,6.14
50.8308,-58.9756,2000,1,28,0.93,,,,,-2.52,,6.71
50.8308,-58.9756,2000,1,29,1.88,,,,,-6.68,,6.55
50.8308,-58.9756,2000,1,30,1.83,,,,,-7.41,,7.23
50.8308,-58.9756,2000,1,31,1.21,,,,,-5.31,,5.71
50.8308,-58.9756,2000,2,1,0.75,,,,,-1.04,,10.44
50.8308,-58.9756,2000,2,2,1.32,,,,,-4.07,,6.56
50.8308,-58.9756,2000,2,3,1.96,,,,,-9.88,,8.76
50.8308,-58.9756,2000,2,4,1.94,,,,,-13.73,,5.48
50.8308,-58.9756,2000,2,5,1.75,,,,,-9.59,,7.8
50.8308,-58.9756,2000,2,6,2.01,,,,,-12.83,,7.61
50.8308,-58.9756,2000,2,7,1.39,,,,,-13.81,,7.99
50.8308,-58.9756,2000,2,8,1.96,,,,,-18.81,,9.67
50.8308,-58.9756,2000,2,9,1.11,,,,,-6.19,,14.97
50.8308,-58.9756,2000,2,10,2.24,,,,,-19.52,,8.33
50.8308,-58.9756,2000,2,11,1.6,,,,,-16.11,,4.41
50.8308,-58.9756,2000,2,12,1.22,,,,,-8.24,,8.22
50.8308,-58.9756,2000,2,13,1.66,,,,,-10.19,,9.77
50.8308,-58.9756,2000,2,14,1.85,,,,,-13.06,,5.14
50.8308,-58.9756,2000,2,15,0.81,,,,,-6.2,,9.85
50.8308,-58.9756,2000,2,16,2.43,,,,,-9.4,,7.31
50.8308,-58.9756,2000,2,17,1.41,,,,,-5.62,,9.06
50.8308,-58.9756,2000,2,18,2.28,,,,,-18.91,,11.33
50.8308,-58.9756,2000,2,19,2.45,,,,,-13.34,,7.04
50.8308,-58.9756,2000,2,20,2.44,,,,,-11.04,,3.04
50.8308,-58.9756,2000,2,21,1.64,,,,,-6.59,,4.63
50.8308,-58.9756,2000,2,22,2.73,,,,,-13.29,,7.95
50.8308,-58.9756,2000,2,23,1.19,,,,,-4.92,,11.93
50.8308,-58.9756,2000,2,24,3.1,,,,,-3.82,,9.05
50.8308,-58.9756,2000,2,25,3.33,,,,,-9.62,,7.75
50.8308,-58.9756,2000,2,26,2.66,,,,,-6.84,,7.82
50.8308,-58.9756,2000,2,27,1.45,,,,,-0.16,,10.81
50.8308,-58.9756,2000,2,28,2.29,,,,,0.99,,7.08
50.8308,-58.9756,2000,2,29,1.93,,,,,0.89,,5.78
50.8308,-58.9756,2000,3,1,1.89,,,,,-0.53,,10.61
50.8308,-58.9756,2000,3,2,1.51,,,,,0.17,,8.46
50.8308,-58.9756,2000,3,3,1.82,,,,,0.17,,9.13
50.8308,-58.9756,2000,3,4,1.33,,,,,-1.17,,11.63
50.8308,-58.9756,2000,3,5,1.68,,,,,-1.38,,8.61
50.8308,-58.9756,2000,3,6,2.07,,,,,-3.25,,8.07
50.8308,-58.9756,2000,3,7,3.92,,,,,-5.26,,5.19
50.8308,-58.9756,2000,3,8,3.88,,,,,-3.91,,5.15
50.8308,-58.9756,2000,3,9,1.25,,,,,-1.32,,9.43
50.8308,-58.9756,2000,3,10,2.58,,,,,-8.97,,10
50.8308,-58.9756,2000,3,11,4.63,,,,,-11.22,,3.91
50.8308,-58.9756,2000,3,12,2.06,,,,,-3.71,,6.62
50.8308,-58.9756,2000,3,13,1.89,,,,,-1.21,,6.97
50.8308,-58.9756,2000,3,14,3.88,,,,,-6.62,,7.07
50.8308,-58.9756,2000,3,15,1.49,,,,,-3.34,,9.71
50.8308,-58.9756,2000,3,16,1.22,,,,,-5.79,,6.77
50.8308,-58.9756,2000,3,17,2.13,,,,,-12.4,,7.99
50.8308,-58.9756,2000,3,18,4.59,,,,,-13.46,,9.34
50.8308,-58.9756,2000,3,19,4.72,,,,,-10.65,,2.91
50.8308,-58.9756,2000,3,20,3.36,,,,,-6.46,,2.45
50.8308,-58.9756,2000,3,21,5.22,,,,,-3.54,,4.22
50.8308,-58.9756,2000,3,22,3.34,,,,,-1.82,,5.43
50.8308,-58.9756,2000,3,23,3.58,,,,,-0.72,,8.23
50.8308,-58.9756,2000,3,24,3.2,,,,,-0.89,,7.06
50.8308,-58.9756,2000,3,25,5.12,,,,,-2.76,,6.67
50.8308,-58.9756,2000,3,26,4.72,,,,,-2.52,,3.91
50.8308,-58.9756,2000,3,27,2.24,,,,,-0.8,,7.21
50.8308,-58.9756,2000,3,28,5.2,,,,,-2.83,,3.52
50.8308,-58.9756,2000,3,29,1.21,,,,,-0.14,,8.64
50.8308,-58.9756,2000,3,30,3.1,,,,,0.51,,5.64
50.8308,-58.9756,2000,3,31,3.39,,,,,-0.23,,4.5
50.8308,-58.9756,2000,4,1,1.69,,,,,0.15,,8.22
50.8308,-58.9756,2000,4,2,6.06,,,,,0.14,,8.52
50.8308,-58.9756,2000,4,3,3.96,,,,,0.58,,5.24
50.8308,-58.9756,2000,4,4,3.51,,,,,-0.37,,4.17
50.8308,-58.9756,2000,4,5,0.91,,,,,0.65,,8.02
50.8308,-58.9756,2000,4,6,2.96,,,,,0.8,,10.2
50.8308,-58.9756,2000,4,7,6.16,,,,,-0.21,,5.58
50.8308,-58.9756,2000,4,8,4.46,,,,,0.32,,5.26
50.8308,-58.9756,2000,4,9,2.29,,,,,3.91,,11.57
50.8308,-58.9756,2000,4,10,1.34,,,,,3.26,,10.32
50.8308,-58.9756,2000,4,11,3.91,,,,,-0.3,,8.66
50.8308,-58.9756,2000,4,12,4.54,,,,,-2.09,,5.95
50.8308,-58.9756,2000,4,13,2.21,,,,,-0.12,,8.99
